ID (Station ID),Station Names,Dist. From First Station(km),Metro Line,Opened(Year),Layout,Latitude,Longitude,Connection1,Connection2
1,Shaheed Sthal(First Station),0,Red line,08-03-2019,Elevated,28.6706109,77.4155822,None,None
2,Hindon River,1,Red line,08-03-2019,Elevated,28.6734147,77.4035924,None,None
3,Arthala,2.5,Red line,08-03-2019,Elevated,28.676999,77.3918919,None,None
4,Mohan Nagar,3.2,Red line,08-03-2019,Elevated,28.6785,77.3839,None,None
5,Shyam park,4.5,Red line,08-03-2019,Elevated,28.678232,77.370902,None,None
6,Major Mohit Sharma,5.7,Red line,08-03-2019,Elevated,28.6776112,77.3581426,None,None
7,Raj Bagh,6.9,Red line,08-03-2019,Elevated,28.677031,77.346578,None,None
8,Shaheed Nagar,8.2,Red line,08-03-2019,Elevated,28.676632,77.333759,None,None
9,Dilshad Garden,9.4,Red line,04-06-2008,Elevated,28.67592,77.32142,None,None
10,Jhil Mil,10.3,Red line,04-06-2008,Elevated,28.67579,77.31239,None,None
11,Mansarovar Park,11.4,Red line,04-06-2008,Elevated,28.67544,77.30095,Pink,None
12,Shahdara,12.5,Red line,24-12-2002,Elevated,28.67345,77.28962,None,None
13,Welcome [Conn: Pink],13.7,Red line,25-12-2002,Elevated,28.6718,77.27756,None,None
14,Seelampur,14.8,Red line,25-12-2002,Elevated,28.66989,77.2667,Violet,Yellow
15,Shastri Park,16.4,Red line,25-12-2002,Elevated,28.668,77.24994,None,None
16,Kashmere Gate [Conn: Violet Yellow],18.5,Red line,24-12-2002,Elevated,28.6675,77.22817,None,None
17,Tis Hazari,19.7,Red line,25-12-2002,Elevated,28.66711,77.21653,None,None
18,Pul Bangash,20.6,Red line,03-10-2003,Elevated,28.66636,77.20727,None,None
19,Pratap Nagar,21.4,Red line,03-10-2003,Elevated,28.66662,77.19882,Green,None
20,Shastri Nagar,23.1,Red line,03-10-2003,Elevated,28.66999,77.18169,None,None
21,Inderlok [Conn: Green],24.3,Red line,03-10-2003,Elevated,28.67319,77.16994,None,None
22,Kanhaiya Nagar,25.5,Red line,31-03-2004,Elevated,28.68254,77.16459,Pink,None
23,Keshav Puram,26.2,Red line,31-03-2004,Elevated,28.68894,77.1616,None,None
24,Netaji Subash Place [Conn: Pink],27.4,Red line,14-03-2018,Elevated,28.69591,77.15226,None,None
25,Kohat Enclave,28.6,Red line,31-03-2004,Elevated,28.6981,77.14024,None,None
26,Pitam Pura,29.6,Red line,31-03-2004,Elevated,28.70317,77.13223,None,None
27,Rohini East,30.4,Red line,31-03-2004,Elevated,28.7076,77.12591,None,None
28,Rohini West,31.7,Red line,31-03-2004,Elevated,28.71483,77.11467,None,None
29,Rithala(last station),32.7,Red line,31-03-2004,Elevated,28.72072,77.10713,None,None
1,Samaypur Badli(First Station),0,Yellow line,10-11-2015,Elevated,28.7446158,77.1382654,None,None
2,Rohini Sector 18-19,0.8,Yellow line,10-11-2015,Elevated,28.7383477,77.1398323,None,None
3,Haiderpur Badli Mor,2.1,Yellow line,10-11-2015,Elevated,28.7301214,77.1494029,None,None
4,Jahangirpuri,3.4,Yellow line,04-02-2009,Elevated,28.72592,77.16267,Pink,None
5,Adarsh Nagar,4.7,Yellow line,04-02-2009,Elevated,28.71642,77.17046,None,None
6,Azadpur [Conn: Pink],6.2,Yellow line,04-02-2009,Elevated,28.70696,77.18053,None,None
7,Model Town,7.6,Yellow line,04-02-2009,Elevated,28.70278,77.19363,None,None
8,Guru Tegh Bahadur Nagar,9,Yellow line,04-02-2009,Underground,28.69785,77.20722,None,None
9,Vishwavidyalaya,9.8,Yellow line,20-12-2004,Underground,28.6948,77.21483,None,None
10,Vidhan Sabha,10.8,Yellow line,20-12-2004,Underground,28.68802,77.2214,Violet,None
11,Civil Lines,12.1,Yellow line,20-12-2004,Underground,28.6768508,77.2250299,None,None
12,Kashmere Gate [Conn: Violet],13.2,Yellow line,20-12-2004,Underground,28.6675,77.22817,None,None
13,Chandni Chowk,14.3,Yellow line,03-07-2005,Underground,28.65785,77.23014,Orange,None
14,Chawri Bazar,15.3,Yellow line,03-07-2005,Underground,28.64931,77.22637,Blue,None
15,New Delhi [Conn: Orange],16.1,Yellow line,03-07-2005,Underground,28.64307,77.22144,None,None
